	NCIH1793_LUNG	MDAMB468_BREAST	SNU601_STOMACH	FTC133_THYROID	SKMEL30_SKIN	SUIT2_PANCREAS	PANC1_PANCREAS	NCIH1975_LUNG	FTC238_THYROID	OC314_OVARY
SPATA20	55.559999999999995	15.520000000000003	29.579999999999995	24.78	32.63999999999999	27.949999999999996	55.84000000000001	35.00999999999999	19.280000000000005	57.26000000000001
CACNA1G	1.3200000000000005	0.07	0.01	0.05	0.06	0.1699999999999999	4.08	0.07	0.03	0.02
TNFRSF12A	101.83999999999996	184.8199999999999	167.85	392.6199999999999	93.64	221.80999999999997	263.59000000000015	236.75000000000003	292.2299999999999	203.01000000000005
DLX6	5.750000000000001	0.09	0.0	0.02	0.08	1.7399999999999998	0.47	0.0	0.02	6.269999999999999
MAP3K9	6.63	10.089999999999998	4.579999999999999	8.940000000000001	1.98	2.620000000000001	4.08	6.98	4.880000000000002	13.920000000000002
RALA	23.250000000000004	45.279999999999994	45.33999999999999	34.79999999999999	20.85000000000001	25.069999999999993	31.230000000000004	48.56	43.5	22.62
BAIAP2L1	37.17	24.22	37.39999999999999	20.860000000000003	11.500000000000002	31.35	66.71999999999998	26.769999999999996	21.940000000000005	24.030000000000022
KDM7A	4.6599999999999975	1.56	4.1499999999999995	0.73	0.74	0.8	1.0	2.38	2.45	2.2699999999999996
ETV1	0.09	2.7	0.4399999999999999	32.36000000000001	15.65	9.35	1.13	6.219999999999999	6.450000000000001	5.459999999999999
AGK	19.07	23.03	10.019999999999998	48.28	27.219999999999995	22.80999999999999	26.600000000000012	36.11	42.34000000000002	29.35
ALDH3B1	41.930000000000014	13.330000000000002	11.659999999999997	36.499999999999986	12.800000000000002	14.22	7.93	99.41	18.059999999999995	44.220000000000006
TTC22	1.2599999999999998	7.760000000000002	8.78	0.1299999999999999	0.02	2.6100000000000003	0.04	2.0	0.1299999999999999	0.5800000000000001
PHTF2	14.44	9.83	15.579999999999997	33.11	25.749999999999993	26.42	35.79	14.96	28.730000000000015	20.690000000000005
CCL26	19.659999999999997	0.24	0.72	7.099999999999998	0.3599999999999999	0.0	0.06	5.839999999999999	8.340000000000002	0.0
FARP2	10.64	14.830000000000004	28.579999999999995	8.439999999999998	70.39999999999999	25.410000000000004	26.600000000000012	13.470000000000002	16.540000000000003	12.25
USH1C	0.06	0.04	40.93	0.04	0.0	18.81	0.05	0.3	0.29	5.370000000000002
GGCT	61.719999999999985	186.27999999999997	113.59999999999997	81.13000000000001	78.74999999999999	88.48000000000003	72.55000000000003	118.3	125.14	58.14
DBF4	30.49000000000001	21.81	25.58	52.75000000000001	29.81	38.64	37.92	44.150000000000006	36.23	20.33
TBXA2R	0.33	0.29	0.09	1.35	0.02	0.0	2.2699999999999996	1.6	3.4700000000000006	0.79
IFRD1	52.31	77.5	24.289999999999996	52.2	22.08	22.059999999999995	32.96999999999999	28.839999999999993	44.34	18.549999999999994
LGALS14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
COX10	8.359999999999998	10.17	14.630000000000004	10.11	10.419999999999998	8.859999999999998	8.05	15.119999999999996	14.12	10.96
GTF2IRD1	29.100000000000005	27.01000000000001	43.2	25.38000000000001	16.71	11.190000000000005	26.73999999999999	22.72000000000001	21.97000000000001	40.29
PAF1	67.95000000000002	99.34	84.92000000000002	122.51000000000003	44.54000000000001	36.09	1220.7999999999995	19.649999999999995	87.66999999999999	44.67000000000001
VPS41	23.39000000000002	22.359999999999996	18.28	30.83	16.39000000000001	17.209999999999994	31.47	48.53000000000001	25.06000000000001	23.309999999999995
ARHGAP44	2.63	0.1699999999999999	11.56	0.52	0.09	0.3400000000000001	0.32	1.8099999999999996	0.4599999999999999	3.289999999999999
ELAC2	46.55	32.120000000000005	68.94	55.920000000000016	49.56999999999999	43.450000000000024	44.60000000000004	68.94	80.26	43.85000000000001
SCIN	1.2599999999999998	0.76	0.01	1.7800000000000002	0.03	12.090000000000002	1.63	0.1799999999999999	0.09	0.1499999999999999
ARSD	3.7200000000000006	9.67	9.09	16.259999999999998	4.110000000000001	11.099999999999998	6.23	12.29	6.14	12.160000000000002
PNPLA4	16.299999999999997	8.01	9.18	20.540000000000003	6.540000000000003	26.089999999999993	0.3799999999999999	17.339999999999996	10.72	37.77
MYH13	0.0	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0
ADIPOR2	20.520000000000007	26.370000000000015	40.1	19.83	62.62999999999998	55.85000000000001	49.10000000000001	28.49000000000001	36.35999999999999	33.28999999999999
CDKL3	0.47	4.240000000000001	0.33	1.2400000000000002	2.0	0.02	1.0300000000000002	0.53	0.8	1.71
UPP2	0.01	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02
PRSS21	0.0	0.24	0.0	0.04	0.07	0.1299999999999999	0.0	49.51	0.06	0.03
MARK4	11.970000000000002	25.24000000000001	15.260000000000003	20.589999999999996	6.570000000000001	7.17	8.160000000000005	6.3599999999999985	14.080000000000004	12.599999999999998
PROM1	11.04	34.68000000000001	15.480000000000004	0.28	0.51	16.290000000000003	0.1100000000000001	0.08	0.1299999999999999	0.03
CCDC124	136.31999999999996	212.50999999999993	117.73999999999997	285.82000000000016	166.86000000000007	120.06999999999996	139.08	218.27999999999992	331.22999999999985	141.75
CEACAM21	0.0	0.1299999999999999	0.04	0.0	0.02	0.0	0.03	0.0	0.1	0.0
PAFAH1B1	56.40000000000001	48.490000000000016	77.11000000000001	73.05000000000001	49.97999999999999	37.690000000000005	65.85000000000001	74.65	91.62000000000003	42.849999999999994
NOS2	0.0	0.01	0.01	0.1799999999999999	0.24	0.01	0.01	0.01	0.01	0.01
DNAH9	0.01	0.01	0.1599999999999999	0.08	0.07	0.01	0.01	0.0	0.0	0.6299999999999999
KIAA0100	56.140000000000015	50.63000000000001	73.07999999999998	60.530000000000015	78.81000000000002	99.93	120.29000000000003	53.529999999999994	88.81999999999998	36.90000000000001
SLC13A2	0.0	0.1599999999999999	0.01	0.01	0.01	0.0	0.0	0.0	0.05	0.0
GAS7	0.04	4.969999999999999	1.27	0.04	49.97999999999999	0.5	0.05	0.1899999999999999	0.05	1.25
TRAPPC6A	25.249999999999996	45.85000000000001	39.29	13.920000000000002	15.78	8.900000000000006	13.46	25.620000000000008	6.830000000000001	20.589999999999996
MATK	0.1599999999999999	0.05	0.05	0.33	0.08	0.03	0.1499999999999999	3.140000000000001	0.09	0.29
CEACAM7	0.03	0.01	0.1400000000000001	0.0	0.0	0.0	0.0	0.03	0.0	0.0
CD79B	0.1699999999999999	0.3599999999999999	0.1799999999999999	0.2299999999999999	0.1	1.08	0.29	0.05	0.1299999999999999	0.07
SCN4A	0.1100000000000001	0.0	0.1499999999999999	0.0	0.01	0.1100000000000001	0.01	0.48	0.04	0.24
ST7L	15.02	23.92	19.04	14.569999999999997	21.14	24.72000000000001	14.699999999999992	10.77	23.539999999999996	22.739999999999995
TKTL1	0.1999999999999999	0.1299999999999999	0.2099999999999999	0.01	1.2199999999999998	0.0	0.0	0.01	0.02	0.0
PAX6	0.1200000000000001	8.45	0.1	1.19	0.0	15.25	0.1	0.1200000000000001	15.06	5.929999999999999
RPUSD1	14.060000000000008	23.96000000000001	28.320000000000025	25.410000000000004	37.79	19.219999999999995	48.41000000000001	35.32000000000001	24.709999999999994	22.379999999999995
RHBDF1	9.07	23.119999999999997	42.81	19.1	36.14000000000001	28.23	20.540000000000003	12.87	12.11	12.969999999999992
LUC7L	20.600000000000005	27.07999999999999	26.430000000000007	12.980000000000002	27.21	25.729999999999997	35.15999999999999	27.160000000000007	17.720000000000006	31.0
CACNA2D2	0.5699999999999998	0.52	0.1200000000000001	0.1799999999999999	0.1899999999999999	0.25	0.1100000000000001	0.25	0.1699999999999999	1.4500000000000002
BAIAP3	0.47	0.3599999999999999	2.02	0.1599999999999999	0.1400000000000001	5.939999999999998	1.12	1.3600000000000003	0.8700000000000001	1.42
