gene_name	PANC0203_PANCREAS	NIHOVCAR3_OVARY	RT112_URINARY_TRACT	NCIN87_STOMACH	PC14_LUNG	HCC1143_BREAST	639V_URINARY_TRACT	KMRC3_KIDNEY	ONCODG1_OVARY
PPP2R5C	5.19	5.0	2.35	2.94	3.29	10.0	1.47	6.25	4.92
RNPEPL1	6.42	0.0	7.01	7.25	8.68	0.0	8.45	6.7	0.0
UBAC2	100.0	100.0	100.0	97.28	98.39	96.3	100.0	97.34	100.0
CIT	19.61	8.7	26.92	10.0	11.54	30.95	25.0	11.54	26.32
ABHD16A	3.49	0.0	2.38	0.0	0.0	3.03	1.68	1.77	1.72
XXbac-BPG32J3.20	3.49	0.0	2.38	0.0	0.0	3.03	1.68	1.77	1.72
GLOD4	0.0	0.0	0.0	2.42	0.0	1.27	0.65	0.0	0.0
INO80E	61.67	75.0	71.23	80.0	67.09	93.44	51.72	90.36	85.96
GHDC	0.0	0.0		0.0	2.13	0.0	3.45	0.0	0.0
GOLGA3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NFAT5	58.46		56.0	66.51	83.78	56.1	55.56	51.72	65.22
RP13-996F3.5	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0
PHTF1	0.0	20.59	30.77	12.5	7.89	0.0	15.38	17.5	22.73
BTN2A1	23.19	30.0	18.97	36.67	20.0	28.12	23.26	18.52	19.57
